경도,위도,설치기관명,설치위치
127.0671022,37.5093683,강남경찰서,2층 유치장
127.0182649,37.61634685,삼각산아이원아파트,102동 1-2라인
127.0166683,37.61608967,삼각산아이원아파트,108동 1-2라인
126.9733831,37.4877494,래미안로이파크아파트,생활지원센터 1층
127.0150917,37.6174411,SK북한산시티(임대),제2경로당 내(제2관리사무소 내 2층)
127.0194097,37.64460925,래미안수유아파트,정문경비실 안(106동107동 사이)
126.8753858,37.49280922,구로주공아파트,관리사무소내
127.0205126,37.61701186,래미안트리베라2차아파트,관리사무소
126.9332681,37.61167849,북한산현대홈타운,113동 관리사무소
127.058227,37.61561851,성북소방서,장위119안전센터 1층 현관
126.8178734,37.55690985,마곡13단지힐스테이트마스터,입주민지원센터 1층 출입현관
127.0176663,37.61539527,삼각산아이원아파트,112동 1-2라인
127.0182155,37.61491735,삼각산아이원아파트,114동 1-2라인
126.923143,37.64225902,은평뉴타운 상림마을 12단지,정문경비실
127.0166903,37.64452858,래미안수유아파트,후문 경비실 안
126.8457129,37.48303129,연지타운2단지아파트,관리사무소 입구
127.0618735,37.59847984,이마트이문점,고객만족센터
126.8587152,37.49206664,개봉동현대아파트,제6경비실
127.0742838,37.5750721,래미안장안2차아파트(분양),2초소
127.0742838,37.5750721,래미안장안2차아파트(분양),3초소
127.0090899,37.61937388,벽산라이브파크아파트(제2관리사무소),202동 경비실앞
126.8882146,37.50812352,신도림디큐브시티아파트,30층 체육시설 내
127.0742838,37.5750721,래미안장안2차아파트(분양),4초소
126.9765109,37.49411478,동작초등학교,중앙현관
127.1281385,37.47817007,송파파인타운9단지,관리사무소 내부
127.1189516,37.53100559,송파현대힐스테이트,201동 1~4라인 좌측 E/L 옆 (현관 출입구 1층)
126.8663401,37.53640668,강서고등학교,본관3층 교무실
127.1486253,37.55625039,서울장애인종합복지관,B동 1층
127.0897795,37.48483867,수서삼성아파트,관리사무소 입구 안쪽
126.8928607,37.52088603,당산대우아파트,대우아파트 후문 경비실
127.0546505,37.48828217,타워팰리스1차아파트,지하1층 방재센터
127.0326848,37.48362486,서초구보건소,서초구청 5층 열린상상카페
